nombre,genero,director,pais,duracion_ms
Pulp Fiction Estados Unidos 1,Romance,Andrey Zvyagintsev,Estados Unidos,6147276
The Godfather Estados Unidos 2,Acción,Bong Joon-ho,Estados Unidos,7943760
Parasite Estados Unidos 3,Drama,Martin Scorsese,Estados Unidos,5494106
Avatar Estados Unidos 4,Thriller,Bong Joon-ho,Estados Unidos,7407328
Parasite Estados Unidos 5,Thriller,Pedro Almodóvar,Estados Unidos,5708296
Titanic Estados Unidos 6,Aventura,Francis Ford Coppola,Estados Unidos,9156169
The Godfather Estados Unidos 7,Ciencia ficción,Francis Ford Coppola,Estados Unidos,6238411
Pulp Fiction Estados Unidos 8,Drama,Quentin Tarantino,Estados Unidos,5482711
The Dark Knight Estados Unidos 9,Thriller,Steven Spielberg,Estados Unidos,9434559
The Godfather Estados Unidos 10,Thriller,Pedro Almodóvar,Estados Unidos,10726979
Parasite Estados Unidos 11,Romance,Hayao Miyazaki,Estados Unidos,7835139
Inception Estados Unidos 12,Drama,Andrey Zvyagintsev,Estados Unidos,5403196
Interstellar Estados Unidos 13,Crimen,Francis Ford Coppola,Estados Unidos,5465561
Parasite Estados Unidos 14,Aventura,Quentin Tarantino,Estados Unidos,10700010
Titanic Estados Unidos 15,Ciencia ficción,Ridley Scott,Estados Unidos,6297285
Inception Estados Unidos 16,Ciencia ficción,Steven Spielberg,Estados Unidos,9734334
Interstellar Estados Unidos 17,Comedia,James Cameron,Estados Unidos,6094907
Forrest Gump Estados Unidos 18,Thriller,Bong Joon-ho,Estados Unidos,8379730
Avatar Estados Unidos 19,Crimen,Bong Joon-ho,Estados Unidos,8231615
Parasite Estados Unidos 20,Crimen,Steven Spielberg,Estados Unidos,8103236
The Matrix Estados Unidos 21,Aventura,Ridley Scott,Estados Unidos,9459143
The Matrix Estados Unidos 22,Acción,Hayao Miyazaki,Estados Unidos,9742759
Avatar Estados Unidos 23,Acción,James Cameron,Estados Unidos,5969280
Forrest Gump Estados Unidos 24,Aventura,Steven Spielberg,Estados Unidos,5466658
